,NAME,Height,Weight,REACH,Stance,DOB,SLPM,STRA,SAPM,STRD,TD,TDA,TDD,SUBA
0,Saad Awad,"5' 11""",155 lbs.,--,,"Jun 07, 1983",2.13,26%,1.87,60%,0.5,16%,100%,0.5
0,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0
0,Bazigit Atajev,"6' 1""",230 lbs.,--,Orthodox,--,0.87,41%,3.14,49%,1,33%,0%,0
0,Mike Aina,"5' 9""",155 lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0,0%,71%,0
0,Royce Alger,"5' 10""",199 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
0,Ricardo Arona,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
0,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.24,42%,2.65,57%,0.53,34%,81%,0.3
0,Levi Avera,"6' 1""",170 lbs.,--,,"May 17, 1982",0,0%,0,0%,0,0%,0%,0
0,Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
0,John Albert,"5' 8""",135 lbs.,"68""",,"Oct 13, 1986",3.05,49%,2.82,35%,0,0%,50%,6.1
0,David Abbott,"6' 0""",265 lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0
0,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",1.87,35%,2.46,57%,1.78,36%,72%,1
0,Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.6,41%,3.14,63%,0.78,68%,63%,0.4
0,Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.2,52%,1.19,57%,33%,0
0,Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.42,51%,4.94,51%,3.24,58%,75%,0.5
0,Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0
0,Anthony Alves,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Marcelo Aguiar,"5' 10""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
0,Abu Azaitar,"5' 10""",185 lbs.,--,Orthodox,"Mar 10, 1986",0,0%,0,0%,0,0%,0%,0
0,Luiz Azeredo,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3
0,Pablo Alfonso,"5' 8""",145 lbs.,--,,"May 09, 1983",0,0%,0,0%,0,0%,0%,0
0,Andy Anderson,"5' 6""",240 lbs.,--,,"Jul 16, 1974",0,0%,0,0%,0,0%,0%,0
0,Juan Adams,"6' 5""",265 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Chris Amarante,--,185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.75,49%,1.6,59%,3.84,48%,57%,1.6
0,Art Arciniega,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,46%,2.73,51%,0,0%,50%,1
0,Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.76,45%,2.51,50%,1.4,61%,60%,0.7
0,Wes Albritton,"5' 10""",188 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
0,Razak Al-Hassan,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0
0,Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.82,40%,7.11,57%,0.67,66%,95%,0
0,JJ Ambrose,"5' 10""",170 lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0,0%,50%,0
0,Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.71,47%,2.31,59%,5.3,55%,50%,0
0,Levi Alford,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Jermaine Andre,"5' 7""",200 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
0,Yoji Anjo,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0,0%,3.13,25%,0,0%,0%,0
0,Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.2,61%,3.74,38%,31%,1.2
0,Ricardo Abreu,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
0,Mike Altman,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0,0%,0%,0
0,Thomas Almeida,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 31, 1991",5.66,45%,4.65,64%,0,0%,75%,0
0,Scott Adams,"6' 0""",225 lbs.,--,Southpaw,--,0,0%,0,0%,0,0%,0%,0
0,Juan Alcain,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.12,54%,2.47,45%,2.1,35%,66%,0
0,Ericka Almeida,"5' 6""",115 lbs.,"68""",,"Mar 05, 1989",1.07,39%,3.33,43%,0.5,33%,37%,0
0,Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",0.58,25%,0.87,66%,8.65,100%,0%,8.7
0,Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.78,53%,2.69,58%,3.11,35%,83%,0.6
0,Tristan Arenal,--,155 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",5.57,39%,2.59,67%,0,0%,93%,0.4
0,Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
0,Matt Andersen,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0,0%,0,0%,0,0%,0%,0
0,Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
0,Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",2.81,47%,3.78,50%,1.15,41%,72%,1
0,Mauricio Alonso,"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0,0%,0%,0
0,Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.69,55%,2.22,71%,0,0%,81%,0.3
0,George Allen,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.8,38%,3.1,43%,0,0%,50%,0
0,Veta Arteaga,"5' 7""",125 lbs.,--,,--,3.2,36%,1.92,65%,0,0%,40%,0
0,Rico Altamirano,"5' 10""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Pat Audinwood,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.8,50%,0%,0
0,Javi Alanis,"5' 6""",135 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Papy Abedi,"5' 11""",185 lbs.,"74""",Southpaw,"Jun 30, 1978",2.8,55%,3.15,48%,3.47,57%,50%,1.3
0,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5,69%,0,0%,100%,0
0,Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Feb 06, 1992",3.94,61%,1.2,64%,0,0%,71%,0
0,Daniel Acacio,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0
0,Magno Almeida,"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36%,2.6,41%,0,0%,40%,5
0,Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
0,Amilcar Alves,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,0,0%,53%,0
0,Jose Aldo,"5' 7""",145 lbs.,"70""",Orthodox,"Sep 09, 1986",3.46,44%,2.91,67%,0.74,68%,92%,0.2
0,Sam Adkins,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0,0%,0,0%,0,0%,0%,0
0,Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0,0%,33%,0
0,Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.38,40%,2.23,70%,1.4,36%,79%,0.3
0,Israel Albuquerque,--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0,0%,0%,0
0,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.53,45%,2.53,58%,1.36,22%,77%,0.3
0,Bertrand Amoussou,"5' 8""",190 lbs.,--,Orthodox,--,6.75,39%,2.01,83%,0,0%,0%,0
0,Zu Anyanwu,"6' 1""",251 lbs.,"77""",Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0
0,Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",5.26,51%,5.01,41%,3.18,55%,81%,0.6
0,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
0,Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 19, 1981",1.28,49%,1.9,59%,0.62,50%,26%,0
0,Kevin Aguilar,"5' 7""",155 lbs.,"72""",Orthodox,"Sep 07, 1988",0,0%,0,0%,0,0%,0%,0
0,Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0,0%,0%,0
0,Jimmy Ambriz,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
0,Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.1,45%,3.21,55%,0.1,25%,84%,0.1
0,Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",5.22,48%,3.77,53%,0.51,40%,73%,1
0,Cesar Arzamendia,"5' 11""",155 lbs.,"71""",,"Jan 31, 1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4
0,Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978",0,0%,0,0%,0,0%,0%,0
0,Luciano Azevedo,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0
0,Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8
0,Gilbert Aldana,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0
0,Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
0,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",5.76,37%,8.99,64%,0.63,100%,0%,0.6
0,Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.26,51%,2.35,52%,1.62,50%,100%,0
0,Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",5.67,51%,6.56,59%,1.33,28%,33%,0
0,Megan Anderson,"6' 0""",145 lbs.,"73""",Orthodox,"Feb 11, 1990",1.73,44%,3.13,33%,0,0%,50%,0
0,Olaf Alfonso,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",0.74,26%,5.33,37%,0,0%,22%,0.6
0,Chalid Arrab,"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1
0,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",2.12,33%,1.78,57%,2.21,57%,66%,0.8
0,Nick Agallar,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0,0%,0%,0
0,Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.44,41%,4.28,55%,3.14,38%,92%,0.4
0,Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
0,David Avellan,"5' 9""",185 lbs.,--,Orthodox,--,3.33,25%,10,57%,0,0%,0%,0
0,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,33%,4.49,56%,0.33,50%,0%,0
0,Alex Andrade,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.2,36%,2.6,53%,0,0%,25%,0.8
0,Derek Anderson,"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0
0,Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3
0,Edwin Aguilar,"5' 10""",185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0
0,Kenneth Alexander,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.2,66%,4.71,26%,0%,0
0,Yoshihiro Akiyama,"5' 10""",170 lbs.,"73""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,2.29,67%,92%,1
0,Anthony Avila,"5' 7""",145 lbs.,--,,"Dec 29, 1988",0,0%,0,0%,0,0%,0%,0
0,Erik Apple,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0,0%,0.54,81%,0,0%,0%,8.1
0,Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2,68%,81%,0.9
0,Romie Aram,"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.8,35%,2.83,50%,2.5,62%,83%,0
0,Jessin Ayari,"6' 0""",170 lbs.,"73""",Orthodox,"May 31, 1992",3.27,34%,2.6,61%,0,0%,33%,0.5
0,Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1,33%,50%,0
0,Shinya Aoki,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4
0,Chris Avila,"5' 10""",145 lbs.,"72""",Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,0,0%,46%,0
0,Karl Amoussou,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0,0%,25%,1
0,Gilles Arsene,"5' 9""",190 lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0,0%,0%,0
0,Hitomi Akano,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0,0%,8%,0.5
0,Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7
0,Javy Ayala,"6' 1""",265 lbs.,--,,"Aug 20, 1988",0.83,25%,5,33%,0,0%,0%,0
0,Alfonso Alcarez,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0,0%,0,0%,0,0%,0%,0
0,Lowell Anderson,"5' 6""",160 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
0,Sean Alvarez,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0,0%,0%,0
0,Andre Amado,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0,0%,20%,0
0,Marcio Alexandre Junior,"6' 0""",170 lbs.,"75""",Southpaw,"May 05, 1989",1.66,44%,2.97,41%,0.37,20%,72%,0.4
0,Dylan Andrews,"6' 1""",185 lbs.,"73""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
0,Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",4,43%,3.28,54%,3.08,100%,0%,0
0,JJ Aldrich,"5' 5""",115 lbs.,"67""",Southpaw,"Sep 29, 1992",4.07,38%,4.13,63%,0.33,20%,42%,0
0,Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0,0%,77%,0
0,Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9
0,Angelo Antonio,--,205 lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0,0%,0%,0
0,Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",4.03,50%,6.17,53%,0.77,50%,100%,0
0,Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",3.01,33%,2.91,57%,2.89,51%,53%,0.3
0,Joey Armstrong,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
0,Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988",0,0%,0,0%,0,0%,0%,0
0,Brett Albee,--,225 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
0,Reese Andy,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.5,58%,0.67,20%,40%,0
0,Josh Appelt,"5' 10""",243 lbs.,--,,"Jun 19, 1983",0,0%,0,0%,0,0%,0%,0
