,Unnamed: 0,NAME,Height,Weight,REACH,Stance,DOB,SLPM,STRA,SAPM,STRD,TD,TDA,TDD,SUBA
0,0,Saad Awad,"5' 11""",155 lbs.,--,,"Jun 07, 1983",2.13,0.26,1.87,0.6,0.5,0.16,1.0,0.5
1,0,Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0
2,0,Bazigit Atajev,"6' 1""",230 lbs.,--,Orthodox,--,0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0
3,0,Mike Aina,"5' 9""",155 lbs.,--,Orthodox,--,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0
5,0,Ricardo Arona,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2
6,0,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.24,0.42,2.65,0.57,0.53,0.34,0.81,0.3
8,0,Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3
9,0,John Albert,"5' 8""",135 lbs.,"68""",,"Oct 13, 1986",3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1
10,0,David Abbott,"6' 0""",265 lbs.,--,Switch,--,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0
11,0,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",1.87,0.35,2.46,0.57,1.78,0.36,0.72,1.0
12,0,Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.6,0.41,3.14,0.63,0.78,0.68,0.63,0.4
13,0,Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
14,0,Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.42,0.51,4.94,0.51,3.24,0.58,0.75,0.5
15,0,Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0
19,0,Luiz Azeredo,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3
24,0,Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.75,0.49,1.6,0.59,3.84,0.48,0.57,1.6
25,0,Art Arciniega,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0
26,0,Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.76,0.45,2.51,0.5,1.4,0.61,0.6,0.7
28,0,Razak Al-Hassan,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0
29,0,Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.82,0.4,7.11,0.57,0.67,0.66,0.95,0.0
30,0,JJ Ambrose,"5' 10""",170 lbs.,--,Orthodox,--,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0
31,0,Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.71,0.47,2.31,0.59,5.3,0.55,0.5,0.0
34,0,Yoji Anjo,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0
35,0,Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
36,0,Ricardo Abreu,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 27, 1984",3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7
37,0,Mike Altman,"5' 10""",185 lbs.,--,Orthodox,--,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0
38,0,Thomas Almeida,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 31, 1991",5.66,0.45,4.65,0.64,0.0,0.0,0.75,0.0
41,0,Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.12,0.54,2.47,0.45,2.1,0.35,0.66,0.0
42,0,Ericka Almeida,"5' 6""",115 lbs.,"68""",,"Mar 05, 1989",1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0
43,0,Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",0.58,0.25,0.87,0.66,8.65,1.0,0.0,8.7
44,0,Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.78,0.53,2.69,0.58,3.11,0.35,0.83,0.6
46,0,Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",5.57,0.39,2.59,0.67,0.0,0.0,0.93,0.4
47,0,Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3
49,0,Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
50,0,Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",2.81,0.47,3.78,0.5,1.15,0.41,0.72,1.0
51,0,Mauricio Alonso,"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0
52,0,Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.69,0.55,2.22,0.71,0.0,0.0,0.81,0.3
53,0,George Allen,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0
54,0,Veta Arteaga,"5' 7""",125 lbs.,--,,--,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0
56,0,Pat Audinwood,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0
58,0,Papy Abedi,"5' 11""",185 lbs.,"74""",Southpaw,"Jun 30, 1978",2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3
59,0,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0
60,0,Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Feb 06, 1992",3.94,0.61,1.2,0.64,0.0,0.0,0.71,0.0
61,0,Daniel Acacio,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0
62,0,Magno Almeida,"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0
63,0,Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
64,0,Amilcar Alves,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0
65,0,Jose Aldo,"5' 7""",145 lbs.,"70""",Orthodox,"Sep 09, 1986",3.46,0.44,2.91,0.67,0.74,0.68,0.92,0.2
67,0,Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0
68,0,Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.38,0.4,2.23,0.7,1.4,0.36,0.79,0.3
69,0,Israel Albuquerque,--,185 lbs.,--,Orthodox,--,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0
70,0,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.53,0.45,2.53,0.58,1.36,0.22,0.77,0.3
71,0,Bertrand Amoussou,"5' 8""",190 lbs.,--,Orthodox,--,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0
72,0,Zu Anyanwu,"6' 1""",251 lbs.,"77""",Orthodox,"Aug 05, 1981",2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0
73,0,Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",5.26,0.51,5.01,0.41,3.18,0.55,0.81,0.6
