,Fighter1,Fighter2,Winner,WeightClass
0,Anthony Smith,Mauricio Rua,Anthony Smith,Light Heavyweight
0,Corey Anderson,Glover Teixeira,Corey Anderson,Light Heavyweight
0,Abu Azaitar,Vitor Miranda,Abu Azaitar,Middleweight
0,Marcin Tybura,Stefan Struve,Marcin Tybura,Heavyweight
0,Danny Roberts,David Zawada,Danny Roberts,Welterweight
0,Nasrat Haqparast,Marc Diakiese,Nasrat Haqparast,Lightweight
0,Damir Hadzovic,Nick Hein,Damir Hadzovic,Lightweight
0,Bartosz Fabinski,Emil Meek,Bartosz Fabinski,Welterweight
0,Nad Narimani,Khalid Taha,Nad Narimani,Featherweight
0,Aleksandar Rakic,Justin Ledet,Aleksandar Rakic,Light Heavyweight
0,Manny Bermudez,Davey Grant,Manny Bermudez,Bantamweight
0,Darko Stosic,Jeremy Kimball,Darko Stosic,Light Heavyweight
0,Liu Pingyuan,Damian Stasiak,Liu Pingyuan,Bantamweight
0,Junior Dos Santos,Blagoy Ivanov,Junior Dos Santos,Heavyweight
0,Sage Northcutt,Zak Ottow,Sage Northcutt,Welterweight
0,Rick Glenn,Dennis Bermudez,Rick Glenn,Featherweight
0,Niko Price,Randy Brown,Niko Price,Welterweight
0,Chad Mendes,Myles Jury,Chad Mendes,Featherweight
0,Cat Zingano,Marion Reneau,Cat Zingano,Women's Bantamweight
0,Alejandro Perez,Eddie Wineland,Alejandro Perez,Bantamweight
0,Alexander Volkanovski,Darren Elkins,Alexander Volkanovski,Featherweight
0,Said Nurmagomedov,Justin Scoggins,Said Nurmagomedov,Flyweight
0,Raoni Barcelos,Kurt Holobaugh,Raoni Barcelos,Featherweight
0,Liz Carmouche,Jennifer Maia,Liz Carmouche,Women's Flyweight
0,Mark De La Rosa,Elias Garcia,Mark De La Rosa,Flyweight
0,Jessica Aguilar,Jodie Esquibel,Jessica Aguilar,Women's Strawweight
0,Daniel Cormier,Stipe Miocic,Daniel Cormier,Heavyweight
0,Derrick Lewis,Francis Ngannou,Derrick Lewis,Heavyweight
0,Mike Perry,Paul Felder,Mike Perry,Welterweight
0,Anthony Pettis,Michael Chiesa,Anthony Pettis,Lightweight
0,Khalil Rountree Jr.,Gokhan Saki,Khalil Rountree Jr.,Light Heavyweight
0,Paulo Costa,Uriah Hall,Paulo Costa,Middleweight
0,Raphael Assuncao,Rob Font,Raphael Assuncao,Bantamweight
0,Drakkar Klose,Lando Vannata,Drakkar Klose,Lightweight
0,Curtis Millender,Max Griffin,Curtis Millender,Welterweight
0,Dan Hooker,Gilbert Burns,Dan Hooker,Lightweight
0,Emily Whitmire,Jamie Moyle,Emily Whitmire,Women's Strawweight
0,Israel Adesanya,Brad Tavares,Israel Adesanya,Middleweight
0,Michael Trizano,Joe Giannetti,Michael Trizano,Lightweight
0,Brad Katona,Jay Cucciniello,Brad Katona,Featherweight
0,Alex Caceres,Martin Bravo,Alex Caceres,Featherweight
0,Roxanne Modafferi,Barb Honchak,Roxanne Modafferi,Women's Flyweight
0,Alessio Di Chirico,Julian Marquez,Alessio Di Chirico,Middleweight
0,Montana De La Rosa,Rachael Ostovich,Montana De La Rosa,Women's Flyweight
0,Luis Pena,Richie Smullen,Luis Pena,Lightweight
0,John Gunther,Allan Zuniga,John Gunther,Lightweight
