,Fighter1,Fighter2,outcome,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
0,Mauricio Rua,Anthony Smith,0,0.5999999046325684,-1.3900001049041748,0.06999999284744263,0.09999999403953552,1.6600000858306885,0.20999997854232788,-0.030000001192092896,0.09999996423721313
1,Corey Anderson,Glover Teixeira,1,0.9800000190734863,-1.2999999523162842,0.03999999165534973,0.019999980926513672,2.9100000858306885,0.04000002145767212,-0.0899999737739563,-0.800000011920929
3,Marcin Tybura,Stefan Struve,1,0.5,-0.8900001049041748,0.04999998211860657,0.02000001072883606,0.4299999475479126,0.04000002145767212,0.20000004768371582,-1.7999999523162842
5,Nasrat Haqparast,Marc Diakiese,1,-0.5800001621246338,-0.6599999666213989,-0.029999971389770508,0.21999996900558472,-1.6500000953674316,0.6399999856948853,0.12999999523162842,0.0
6,Damir Hadzovic,Nick Hein,1,-0.9100000858306885,0.32000017166137695,0.06999999284744263,-0.13999998569488525,-0.949999988079071,-0.33000001311302185,-0.5199999809265137,0.5
7,Emil Meek,Bartosz Fabinski,0,0.4700000286102295,2.0299999713897705,-0.3099999725818634,-0.16999998688697815,-7.5,-0.2200000286102295,-0.4599999785423279,1.5
9,Justin Ledet,Aleksandar Rakic,0,1.6400001049041748,1.53000009059906,0.10999998450279236,0.050000011920928955,0.46000000834465027,1.0,0.1499999761581421,0.5
10,Davey Grant,Manny Bermudez,0,1.9999998807907104,-1.149999976158142,0.10999998450279236,0.050000011920928955,-0.7100000381469727,0.10000000894069672,0.6399999856948853,-6.0
13,Blagoy Ivanov,Junior Dos Santos,0,-2.7899999618530273,1.2300000190734863,-0.25999999046325684,-0.029999971389770508,-0.36000001430511475,-0.550000011920929,0.19999998807907104,-0.10000000149011612
14,Zak Ottow,Sage Northcutt,0,-0.5299999713897705,0.7799999713897705,-0.12999999523162842,-0.019999980926513672,-1.0399999618530273,-0.03999999165534973,0.20000001788139343,-0.10000002384185791
15,Rick Glenn,Dennis Bermudez,1,-0.25,0.7999999523162842,-0.019999980926513672,-0.04999995231628418,-3.0,-0.2199999988079071,-0.17000001668930054,-0.6000000238418579
16,Niko Price,Randy Brown,1,-0.440000057220459,1.3700001239776611,-0.15000000596046448,0.029999971389770508,0.48000001907348633,-0.10999998450279236,-0.019999980926513672,1.1999999284744263
17,Chad Mendes,Myles Jury,1,0.15000009536743164,0.6600000858306885,0.09000000357627869,-0.029999971389770508,1.5799999237060547,-0.009999990463256836,0.5,0.0
18,Marion Reneau,Cat Zingano,0,0.8500001430511475,0.8400000333786011,-0.20000001788139343,0.21000000834465027,-2.549999952316284,0.3500000238418579,0.09999999403953552,0.30000007152557373
19,Eddie Wineland,Alejandro Perez,0,-0.5,0.5299999713897705,-0.06999999284744263,0.050000011920928955,-0.17000001668930054,0.17000001668930054,0.2200000286102295,0.0
20,Alexander Volkanovski,Darren Elkins,1,2.8000001907348633,-0.1400001049041748,0.25999999046325684,0.0899999737739563,1.2299997806549072,0.06000000238418579,0.21999996900558472,-0.699999988079071
